"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Call notes","hs_call_body","string","The body of the call","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","Views (1)","11.13%","",""
"Call direction","hs_call_direction","enumeration","The direction of a call","call","false","Inbound (INBOUND); Outbound (OUTBOUND)","false","true","false","false","false","true","HubSpot","Not applicable","Reports (2); Views (1)","88.39%","",""
"Call outcome","hs_call_disposition","enumeration","The outcome of the call","call","false","","false","true","false","true","false","true","HubSpot","Not applicable","Views (1)","79.6%","",""
"Call duration","hs_call_duration","number","The duration of the call, in milliseconds","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","Views (1)","85.24%","",""
"From number","hs_call_from_number","string","The phone number of the person that initiated the call","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","","92.55%","",""
"From Number Name","hs_call_from_number_nickname","string","The name of the phone number that initiated the call","call","false","","true","true","false","false","false","true","HubSpot","Not applicable","","76.97%","",""
"Transcript Available","hs_call_has_transcript","bool","Flag to indicate if the call has an associated transcript","call","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Not applicable","Views (1)","8.98%","",""
"Voicemail Available","hs_call_has_voicemail","enumeration","Flag to indicate if the call has an associated voicemail","call","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Not applicable","Views (1)","15.15%","",""
"Call location","hs_call_location","enumeration","The area in HubSpot where the call was placed or answered (CRM, Inbox, Help Desk, Mobile, etc...)","call","false","CRM [HIDDEN] [READ-ONLY]; Inbox (INBOX) [HIDDEN] [READ-ONLY]; HelpDesk (HELP_DESK) [HIDDEN] [READ-ONLY]; Mobile App (MOBILE_APP) [HIDDEN] [READ-ONLY]","true","true","false","false","false","true","HubSpot","Not applicable","","12.28%","",""
"Recording URL","hs_call_recording_url","string","The URL of the recorded call audio","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","","13.76%","",""
"Call Source","hs_call_source","enumeration","The source of the call to differentiate VoIP vs Video Conferencing Apps","call","false","VoIP (VOIP) [READ-ONLY]; Zoom (ZOOM) [READ-ONLY]; Integrations Platform (INTEGRATIONS_PLATFORM) [READ-ONLY]; HubSpot Meetings (HUBSPOT_MEETINGS) [READ-ONLY]; In Person Meetings (IN_PERSON_MEETINGS) [READ-ONLY]","false","true","false","false","false","true","HubSpot","Not applicable","","91.83%","",""
"Call status","hs_call_status","enumeration","The status of the call","call","false","Busy (BUSY); Calling CRM User (CALLING_CRM_USER); Canceled (CANCELED); Completed (COMPLETED); Connecting (CONNECTING); Failed (FAILED); In Progress (IN_PROGRESS); Missed (MISSED); No Answer (NO_ANSWER); Queued (QUEUED); Ringing (RINGING); On Hold (HOLD)","false","true","false","false","false","true","HubSpot","Not applicable","Views (1)","100%","",""
"Call summary","hs_call_summary","string","An AI generated summary of the call transcript","call","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.63%","",""
"Call Title","hs_call_title","string","The title of the call","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","Reports (1); Views (1)","100%","",""
"To Number","hs_call_to_number","string","The phone number of the person that was called","call","false","","false","true","false","false","false","true","HubSpot","Not applicable","Views (1)","92.55%","",""
"To Number Name","hs_call_to_number_nickname","string","The name of the phone number that was called","call","false","","true","true","false","false","false","true","HubSpot","Not applicable","","11.42%","",""
"Tracked terms","hs_call_transcript_tracked_terms","enumeration","A list of any tracked terms contained in the call transcript","call","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Call Voice Agent Total Ms","hs_call_voice_agent_total_ms","number","The duration of the voice agent’s specific call segment (leg) in milliseconds.","call","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Connected count","hs_connected_count","number","This counter is used to report on the total number of calls that end up connected to a live recipient","call","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Inbound Call Answer Status","hs_inbound_call_answer_status","string","A property to show whether an inbound call was answered or not","call","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Voice Agent Is Most Recent Customer Feedback Positive","hs_voice_agent_is_most_recent_customer_feedback_positive","bool","This property will track the most recent feedback for the Voice Agent and help track its resolution rate.  The value is null if no feedback is given by the customer. The value is true if the customer positively affirms the Voice Agent resolved their issue. The value is false if the customer indicates that the Voice Agent did not resolve their issue.  ","call","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Voicemail count","hs_voicemail_count","number","This counter is used to report on the total number of calls that end up with a voicemail","call","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Interactivity","hs_call_interactivity","number","Interactivity switches per hour","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Longest customer story","hs_call_longest_customer_story","number","Longest customer story in seconds","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner longest monologue","hs_call_owner_longest_monologue","number","Owner longest monologue in seconds","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner talk speed","hs_call_owner_talk_speed","number","Owner talk speed in wpm","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner talk time","hs_call_owner_talk_time","number","Owner talk time in seconds","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner talk time percentage","hs_call_owner_talk_time_percentage","number","Owner talk time in percentage","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Patience","hs_call_patience","number","Patience in seconds","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","82.32%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","4.16%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","callinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","82.32%","",""
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","engagement","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","Not applicable","","93.74%","",""
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","Not applicable","Reports (1); Views (1)","100%","",""
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Not applicable","Reports (1); Views (1)","100%","",""
