"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Call destination number","call_destination_number","string","This is the destination number the call was routed to.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0.17%","",""
"Call Recording Link","call_recording_link","string","The audio of the call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (1)","0.36%","",""
"Caller Id","caller_id","string","This is the caller id associated with the caller's phone number.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","","0.25%","",""
"Duration","duration","string","The duration of the call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (1)","0%","",""
"First campaign contacted","first_campaign_contacted","string","This is the campaign from the first website visit or phone call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0.13%","",""
"First medium contacted","first_medium_contacted","string","This is the medium from the first website visit or phone call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0.17%","",""
"First Source Contacted","first_source_contacted","string","This is the name of the tracking number that the caller called first.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (2)","0.49%","",""
"First Tracking Number Contacted","first_tracking_number_contacted","string","This is the phone number for the tracking number that the caller called first.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (2)","0.49%","",""
"Form Capture Data","form_capture_data","string","This is the form capture data, in JSON format.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (1)","0%","",""
"Formatted Duration","formatted_duration","string","The formatted duration of the call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (1)","0%","",""
"GCLID","gclid","string","Google Click Identifier","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","","0.44%","",""
"Average Pageviews","hs_analytics_average_page_views","number","Average number of pageviews per session for this contact. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"First Referring Site","hs_analytics_first_referrer","string","URL that referred the contact to your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","41.31%","",""
"Time First Seen","hs_analytics_first_timestamp","datetime","First time the contact has been seen. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"First Touch Converting Campaign","hs_analytics_first_touch_converting_campaign","string","Campaign responsible for the first touch creation of this contact.","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"First Page Seen","hs_analytics_first_url","string","First page the contact visited on your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Workflows (1); Reports (3); Views (9); Property cards (1)","52.74%","",""
"Time of First Session","hs_analytics_first_visit_timestamp","datetime","First time the contact visited your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","52.78%","",""
"Last Referring Site","hs_analytics_last_referrer","string","Last URL that referred contact to your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Lists (2)","48.33%","",""
"Time Last Seen","hs_analytics_last_timestamp","datetime","Timestamp for most recent webpage view on your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","52.78%","",""
"Last Touch Converting Campaign","hs_analytics_last_touch_converting_campaign","string","Campaign responsible for the last touch creation of this contact.","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","Views (9)","0%","",""
"Last Page Seen","hs_analytics_last_url","string","Last page the contact visited on your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","52.78%","",""
"Time of Last Session","hs_analytics_last_visit_timestamp","datetime","Timestamp for start of the most recent session for this contact to your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Reports (1)","52.78%","",""
"Number of event completions","hs_analytics_num_event_completions","number","Total number of events for this contact. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Number of Pageviews","hs_analytics_num_page_views","number","Total number of page views this contact has had on your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Number of Sessions","hs_analytics_num_visits","number","Number of times a contact has come to your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Reports (1)","100%","",""
"Event Revenue","hs_analytics_revenue","number","Set event revenue on a contact though the Enterprise Events feature. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
