"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Address types to collect","hs_address_types_to_collect","enumeration","The types of addresses that are collected while paying the invoice","contract_information","false","Billing address (billing_address); Shipping address (shipping_address)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"All Transactions Fee Name","hs_all_transactions_fee_name","string","Name of the all-transactions checkout fee","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"All Transactions Fee Percentage","hs_all_transactions_fee_percentage","number","Percentage of the all-transactions checkout fee at time of contract creation","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Allowed payment methods","hs_allowed_payment_methods","enumeration","The payment methods that can be collected while paying the invoice","contract_information","false","Credit or Debit Card (credit_or_debit_card); ACH (ach); SEPA (sepa); BACS (bacs); PADS (pads)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Associated Companies","hs_associated_company_ids","number","Ids of companies associated to this contract.","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Automated sales tax enabled","hs_automated_taxes_enabled","bool","If automated sales tax is enabled","contract_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address city","hs_billing_address_city","string","The city the customer entered for billing.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address country","hs_billing_address_country","string","The country the customer entered for billing.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address country code","hs_billing_address_country_code","string","The ISO country code used for billing","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address line 1","hs_billing_address_line_1","string","The street address the customer entered for billing.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address line 2","hs_billing_address_line_2","string","The apartment, unit number, or building the customer entered for billing. This is an optional field.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address state","hs_billing_address_state","string","The state the customer entered for billing.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing address zip","hs_billing_address_zip","string","The zip code the customer entered for billing.","contract_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Card Fee Name","hs_card_fee_name","string","Name of the credit/debit card checkout fee ","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Card Fee Percentage","hs_card_fee_percentage","number","credit/debit card checkout fee percentage applied per payment / invoice","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Collection process","hs_collection_process","enumeration"," Describes the payment collection process for the contract i.e. automatic vs manual","contract_information","false","Manual payments (manual_payments); Automatic payments (automatic_payments)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Contract effective date","hs_contract_effective_date","date","The date when the contract becomes legally effective","contract_information","false","","false","false","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Contract source id","hs_contract_source_id","string","Stores the ID of the specific source object that triggered the contract's creation. This field can be null for sources like crm_ui or import where a specific source object ID may not apply.","contract_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
