"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Brands","hs_all_assigned_business_unit_ids","enumeration","The brands this record is assigned to.","credit_memo_information","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Amount credited","hs_amount_credited","number","How much credit has been credited.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Amount remaining","hs_amount_remaining","number","How much credit is remaining.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Comments","hs_comments","string","Comments to the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","credit_memo_information","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","credit_memo_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Credit memo billable","hs_credit_memo_billable","bool","Whether or not the credit memo is billable","credit_memo_information","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Credit memo date","hs_credit_memo_date","datetime","Date the credit memo was issued.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Credit memo reason","hs_credit_memo_reason","enumeration","Reason for issuing credit","credit_memo_information","false","Invoice correction (invoice_correction); Order change/cancellation (order_change_cancellation); Product/service unsatisfactory (product_service_unsatisfactory); Other (other)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Credit memo source","hs_credit_memo_source","enumeration","Creation source of the credit memo.","credit_memo_information","false","HubSpot (native_credit_memo); Data Sync (data_sync)","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
