"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Latest Traffic Source","hs_analytics_latest_source","enumeration","Source for the contact either directly or indirectly associated with the last session activity for this deal","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","true","true","true","false","false","true","HubSpot","Not applicable","","60.29%","",""
"Latest Traffic Source Data 1","hs_analytics_latest_source_data_1","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","40.3%","",""
"Latest Traffic Source Data 2","hs_analytics_latest_source_data_2","string","Additional source details of the last session attributed to any contacts that are directly or indirectly associated with this deal","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","35.52%","",""
"Latest Traffic Source Timestamp","hs_analytics_latest_source_timestamp","datetime","Timestamp of when latest source occurred for either a directly or indirectly associated contact","analyticsinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","60.25%","",""
"Original Traffic Source","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this deal.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Not applicable","","60.29%","",""
"Original Traffic Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","60.25%","",""
"Original Traffic Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the original source for the associated contact, or associated company if there is no contact, with the oldest value for the Time first seen property.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","56.21%","",""
"Closed Lost Reason","closed_lost_reason","string","Reason why this deal was lost","deal_activity","false","","false","false","false","false","false","true","HubSpot","Not applicable","Conditional logic: As dependent property (1)","0.95%","",""
"Closed Won Reason","closed_won_reason","string","Reason why this deal was won","deal_activity","false","","false","false","false","false","false","true","HubSpot","Not applicable","Conditional logic: As dependent property (2)","2.14%","",""
"Deal Stage","dealstage","enumeration","The stage of the deal. Deal stages allow you to categorize and track the progress of the deals that you are working on.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Not applicable","Lists (8); Workflows (7); Conditional logic: As controlling property (4)","100%","",""
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link. ","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Has Last Conversation Follow Ups","hs_has_last_conversation_follow_ups","bool","Indicates if the most recent conversation has follow ups. True if hs_last_conversation_with_followups_object_coordinates has a value, false otherwise.","deal_activity","false","Yes (true); No (false)","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Is closed lost","hs_is_closed_lost","bool","True if the deal is in the closed lost state, false otherwise","deal_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last conversation with follow-ups","hs_last_conversation_with_followups_object_coordinates","object_coordinates","Object coordinates of the last conversation with followups","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last GS Shared Message","hs_last_gs_shared_message","datetime","when was the last gs shared message?","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Partner Shared Message Date","hs_last_partner_shared_message_date","date","When was the last shared message sent on this deal by a Partner?","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Latest Approval Status","hs_latest_approval_status","string","The latest approval status. Used by HubSpot to track pipeline approval processes.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","99.9%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, sales email, or meeting was logged for this deal. This is set automatically by HubSpot based on user actions.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","23.26%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","24.73%","",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a deal. This property is set automatically by HubSpot based on user action. This includes logging a future call, sales email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Number of times contacted","num_contacted_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","24.99%","",""
"Number of Sales Activities","num_notes","number","The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a deal record. This is set automatically by HubSpot based on user actions in the deal record.","deal_activity","false","","true","true","false","false","false","true","HubSpot","Not applicable","","24.99%","",""
"Pipeline","pipeline","enumeration","The pipeline the deal is in. This determines which stages are options for the deal.","deal_activity","false","","false","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Amount","amount","number","The total amount of the deal","deal_revenue","true","","false","true","false","false","false","true","HubSpot","Not applicable","Conditional logic: As dependent property (1)","14.76%","",""
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","14.76%","",""
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue (ARR) of this deal.","deal_revenue","true","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","deal_revenue","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0.36%","",""
"Monthly recurring revenue","hs_mrr","number","The monthly recurring revenue (MRR) of this deal.","deal_revenue","true","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Close Date","closedate","datetime","Date the deal was closed. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","Conditional logic: As dependent property (2)","65.95%","",""
"Create Date","createdate","datetime","Date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Days to close","days_to_close","number","The number of days the deal took to close","dealinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
