"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","engagement","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Activity assigned to","hubspot_owner_id","enumeration","The user that the activity is assigned to in HubSpot. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows.","engagement","false","","false","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of an engagement.","engagement","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"HubSpot attendee owner IDs","hs_attendee_owner_ids","enumeration","Stores the owner ids of any attendees who are users in the portal","meeting","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Contact first outreach date","hs_contact_first_outreach_date","datetime","The first outreach date of the associated contact","meeting","false","","true","true","false","false","false","true","HubSpot","Not applicable","","94.12%","",""
"has_meeting_transcript","hs_has_meeting_transcript","bool","Whether or not the meeting has an associated meeting generated transcription","meeting","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Internal Meeting Notes","hs_internal_meeting_notes","string","The internal notes from the meeting","meeting","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Meeting description","hs_meeting_body","string","The text description of the meeting","meeting","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Meeting end time","hs_meeting_end_time","datetime","The date when the meeting ends","meeting","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Meeting location","hs_meeting_location","string","Where the meeting takes place","meeting","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Location type","hs_meeting_location_type","enumeration","The type of location for the meeting event","meeting","false","Phone call (PHONE); Address (ADDRESS); Custom (CUSTOM); Video Conference (VCE)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Meeting outcome","hs_meeting_outcome","enumeration","The outcome of this meeting","meeting","false","Scheduled (SCHEDULED); Completed (COMPLETED); Rescheduled (RESCHEDULED); No Show (NO_SHOW); Canceled (CANCELED)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Meeting Recording Duration","hs_meeting_recording_duration","number","The duration of the captured recording for a meeting","meeting","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
