"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Pricing model","hs_pricing_model","enumeration","Defines the pricing model as either 'flat' or one of three tiered options","price","false","Flat (flat); Volume-based (volume); Stair-step (stairstep); Graduated (graduated)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","price","false","Weekly (weekly); Every two weeks (biweekly); Monthly (monthly); Quarterly (quarterly); Semi-annually (per_six_months); Annually (annually); Every two years (per_two_years); Every three years (per_three_years); Every four years (per_four_years); Every five years (per_five_years)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Create Date","createdate","datetime","The date the product was created","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Image Url","hs_images","string","Product images.","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","productinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Product Classification","hs_product_classification","enumeration","The classification of product.Categorizes your product as either Standalone, Variant or Bundle","productinformation","false","Standalone (standalone); Variant (variant); Bundle (bundle)","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Product type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","productinformation","false","Inventory (inventory); Non-Inventory (non_inventory); Service (service)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"SKU","hs_sku","string","Unique product identifier","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Status","hs_status","enumeration","Active or inactive status for a product. Determines whether or not the product will appear in search when creating a line item from a product","productinformation","false","Active (active); Inactive (inactive)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Tax Category","hs_tax_category","enumeration","The tax category used to determine what amount of tax to automatically apply to line items created from this product","productinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"URL","hs_url","string","Product url.","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","productinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","productinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Name","name","string","Product name","productinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Term","hs_recurring_billing_period","string","Product recurring billing duration","term","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
